,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
T5 Cumberland Line,School Student,7556,17868,13163,11856,15602,6410,974,15614,19568,6739,20284,17560,7908,20696,12830,13824,17427,7838,1159,19036,20946,11035,22838,20504,10990,23924,20349,12855,19449,12586,1414,20129,25279,12866
T5 Cumberland Line,Senior/Pensioner,47463,53395,52382,53139,54441,51193,47426,47763,54726,49655,54834,52179,48575,54916,50409,55307,54586,54096,46803,50868,55850,63756,56799,56519,57335,61663,58067,60862,56491,69332,56101,52224,65672,59887
T5 Cumberland Line,Sgl Trip Rail Adult,324,2261,2136,2151,2196,2752,2169,1856,2127,2019,1751,1962,1982,1991,2058,2238,2103,2542,1653,1596,1928,2060,1612,1748,1325,1490,1422,1557,1508,2305,1342,1102,1471,1338
T5 Cumberland Line,Sgl Trip Rail Child/Youth,84,450,581,522,399,770,719,344,432,601,335,459,710,487,559,572,437,718,528,330,384,705,313,402,443,317,306,337,253,622,417,183,276,455
T6 Carlingford Line,Adult,31864,40123,35855,33920,36327,30726,28169,31519,39298,29914,38490,35694,35593,39899,36152,36359,38643,31821,27240,31700,36609,31084,37686,33170,34899,38899,36493,37446,38178,30398,30095,32674,39624,34431
T6 Carlingford Line,Child/Youth,790,1602,886,976,800,1038,1043,947,1149,1000,612,914,1260,1311,1002,1014,927,1315,1292,941,1202,1177,780,718,1139,980,944,1149,928,1236,1451,964,1113,1278
T6 Carlingford Line,Concession,2667,5146,3481,3184,2210,1508,1267,1895,4632,2969,4216,2690,2284,4878,3288,3331,2449,1687,1227,1879,4367,3161,4068,2486,2179,4291,3289,3616,2537,1652,1619,2254,4605,3838
T6 Carlingford Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,631,805,808,1045,829
T6 Carlingford Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3,
T6 Carlingford Line,Employee,175,229,213,244,276,179,210,221,304,224,255,252,189,260,264,324,1195,1186,848,1265,1475,1202,1579,1280,1258,1749,1526,1670,1703,1265,1296,1635,1694,1333
T6 Carlingford Line,Free Travel,12,12,24,22,20,19,21,28,45,34,34,26,47,31,24,28,31,13,4,18,27,14,12,2,9,19,17,15,20,18,16,16,33,27
T6 Carlingford Line,School Student,366,816,557,579,903,371,49,913,1144,351,1135,1058,543,1226,853,935,1270,551,115,1159,1383,517,1383,1150,669,1493,1236,897,1443,819,119,1551,1809,935
T6 Carlingford Line,Senior/Pensioner,3095,3729,3831,3566,3758,3596,2857,2958,3766,3122,3270,3260,3430,3366,3465,3077,3660,3512,2722,3483,4286,3355,4019,3623,3996,4401,4285,3969,4437,3484,3417,3572,4258,3971
T6 Carlingford Line,Sgl Trip Rail Adult,10,77,63,45,75,55,50,37,106,45,44,49,77,88,55,37,78,90,24,72,92,26,30,61,50,71,98,32,99,63,56,37,67,41
T6 Carlingford Line,Sgl Trip Rail Child/Youth,2,4,7,3,3,5,7,3,5,9,4,9,12,9,4,8,5,32,12,8,5,10,6,9,11,14,15,8,18,9,12,5,9,8
T7 Olympic Park Line,Adult,124590,124612,102987,116328,104223,99922,88806,104382,131435,139793,137642,122355,145031,104418,106662,119772,124790,109677,87544,98841,114620,99771,117970,114049,142274,135406,114671,121705,123807,98591,125483,117609,124265,103777
T7 Olympic Park Line,Child/Youth,7793,5922,5995,6631,11449,7369,6091,3762,6611,15299,5618,6220,11150,4517,6599,5611,10590,6458,5593,5304,7689,6479,5075,5014,9716,6536,5592,6527,9517,5121,7047,5516,4884,8345
T7 Olympic Park Line,Concession,9387,11671,8768,9347,5890,7274,4661,5629,12672,11059,12533,8258,9020,9464,8579,9078,7946,7120,4440,5453,10747,7842,9409,7103,8469,9766,7186,7395,7050,5333,6232,6519,10040,7654
T7 Olympic Park Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,1884,3395,3556,4166,3250
T7 Olympic Park Line,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,,1,,2,1,1,3
T7 Olympic Park Line,Employee,437,570,484,575,431,430,360,469,519,634,493,525,612,426,345,469,423,378,288,380,542,372,414,370,471,453,375,489,441,332,570,493,495,641
T7 Olympic Park Line,Free Travel,35,73,49,41,33,43,37,43,32,93,31,43,34,32,18,44,31,49,32,42,96,61,46,39,82,55,52,178,60,37,58,45,48,80
T7 Olympic Park Line,School Student,1175,2552,1768,1625,2442,981,134,2189,2918,1096,3536,2795,1574,2472,1733,1847,2499,845,115,1975,2351,903,3078,2291,1527,2719,2140,1440,2861,1031,141,2615,2773,1338
T7 Olympic Park Line,Senior/Pensioner,8427,8560,8645,11173,8285,7777,7190,8095,8798,13448,7884,8676,10536,6497,6759,9310,8554,8272,6809,7516,9642,7746,7640,7746,9975,9229,8248,10628,9059,7661,10157,8746,8748,9791
T7 Olympic Park Line,Sgl Trip Rail Adult,291,1715,1124,1303,1123,1124,894,929,1437,1405,1206,1298,2021,1069,1331,1400,1618,1800,875,1383,1562,1098,1074,1493,1499,2102,1472,1352,1279,1065,1080,1010,1093,803
T7 Olympic Park Line,Sgl Trip Rail Child/Youth,65,211,296,304,260,236,253,114,248,463,184,231,628,185,399,244,307,354,231,241,391,323,142,213,374,394,340,328,211,204,257,185,169,332
Blue Mountains Line,Adult,537669,578758,570413,571910,585478,541787,520123,541509,642195,550579,643957,602442,606060,622278,559449,604281,633477,550864,540790,585012,644837,579488,657062,602743,624720,663242,571384,625070,653824,538261,560421,549645,632718,508418
Blue Mountains Line,Child/Youth,36387,28601,35034,38633,32013,46411,54242,28641,33442,46118,27270,33177,49681,29820,35433,38292,33305,47969,52872,33044,36973,47382,28790,34261,49026,32224,27359,40505,33644,41482,52803,26925,32483,39759
Blue Mountains Line,Concession,60238,73100,59729,56798,46476,37017,33551,42213,83278,58885,75311,53146,51079,76554,57666,59466,50094,38526,35574,43233,77503,63474,75350,54728,50302,76900,54910,57715,47553,33674,32996,39735,72636,49804
Blue Mountains Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,7277,9951,9684,13443,12285
Blue Mountains Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,5,1,,,,,,2,6,,3,4,,,,,,2,4,
Blue Mountains Line,Day Pass without SAF,,,,,,,,,,,,,,,21,6,,,1,,1,8,13,25,28,35,19,33,46,36,30,30,57,45
Blue Mountains Line,Employee,10085,11719,11397,11079,12310,10700,9708,10926,12972,9869,12566,11621,11025,11507,9751,10391,11385,10413,9817,10962,12550,11486,13541,12570,12680,13350,10247,11978,12553,10062,10610,10642,12269,9197
Blue Mountains Line,Free Travel,919,1158,1090,1020,1146,1039,897,1000,1270,1001,1266,1129,1151,1172,947,1045,1169,1029,952,1098,1230,1218,1216,1059,1158,1249,757,964,966,783,730,874,973,807
Blue Mountains Line,School Student,14260,31641,24076,21476,28187,11641,1948,30315,36445,12097,36279,30140,14426,31734,20991,21587,28299,11439,2132,31853,34938,14881,39184,32610,16713,37434,30478,19405,32380,15264,2370,34185,38157,15702
Blue Mountains Line,Senior/Pensioner,99285,106916,108657,116986,114496,105972,98251,99233,117856,104827,118504,110367,108247,107453,99213,112005,113990,102088,95971,103377,116188,109125,120418,106773,108985,113974,100505,114671,117520,100570,99918,98105,113609,97667
Blue Mountains Line,Sgl Trip Rail Adult,1341,5392,6382,6124,6042,7381,6082,5072,6196,5839,5076,5252,6655,6137,5604,6427,6620,7562,6238,6228,7541,6206,6130,5972,5349,5789,4619,5274,5636,5435,4757,3674,4776,4056
Blue Mountains Line,Sgl Trip Rail Child/Youth,622,1428,2018,1855,1427,2466,2542,1229,1478,2019,1214,1396,2711,1595,1920,1909,1722,2781,2709,1742,2083,2886,1771,1911,2373,1735,1256,1905,1372,1917,2175,888,1252,1612
Central Coast Newcastle Line,Adult,1073971,1125393,1090172,1051048,1126345,998680,981946,1045870,1192331,1018363,1242777,1105407,1136943,1183406,1130681,1129542,1218336,936865,821876,1083682,1169498,1094093,1257026,1066756,1162066,1212793,1127437,1073010,1134503,898635,908510,1025501,1093861,1008163
Central Coast Newcastle Line,Child/Youth,75665,56945,71814,71828,68559,84261,101939,63519,66079,92044,64423,66232,95435,59065,79789,73505,73170,80419,79886,68392,72674,92666,63256,62204,93888,58880,67121,68641,62007,72774,87599,64304,62329,80698
Central Coast Newcastle Line,Concession,120568,145413,115934,114758,94764,70273,64150,79162,156308,114347,152458,105397,94295,151254,119134,120591,101472,66093,54521,82531,143204,112278,142217,95651,90063,143233,112482,111307,93669,63311,57556,82351,140931,112438
Central Coast Newcastle Line,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,994,12880,17970,21211,24861,26361
Central Coast Newcastle Line,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,,,2,,,,,7
Central Coast Newcastle Line,Day Pass without SAF,,,,,,,,,,,,,,,17,7,2,,,,15,16,17,33,54,59,70,62,63,53,79,53,66,77
Central Coast Newcastle Line,Employee,21733,23970,24260,22889,25367,22145,20804,22450,24824,19993,25451,22981,23378,23906,21438,21902,24558,19941,16926,21135,22545,21131,25161,21243,23084,23820,21567,21797,22776,19078,19244,22652,22843,22069
Central Coast Newcastle Line,Free Travel,1922,2460,2416,2261,2608,2177,2046,2407,2597,2339,2762,2449,2537,2609,2403,2470,2649,2157,1876,2340,2564,2614,2745,2349,2528,2590,2417,2745,3001,2461,2349,2804,2791,2646
Central Coast Newcastle Line,School Student,64031,95296,70607,64200,83623,35090,6408,84413,98786,34067,101428,83884,55243,106510,66396,67843,96471,33284,7086,85666,88377,37788,100961,81086,41524,96514,81353,49324,81923,34704,6037,86995,93529,48483
Central Coast Newcastle Line,Senior/Pensioner,205808,219372,224307,224676,242001,219428,205600,210605,235623,219721,246641,215429,228477,229055,228036,226817,249938,205511,170490,218930,236759,232364,248510,209861,232651,236962,228057,209234,229843,205622,184862,215931,223135,220101
Central Coast Newcastle Line,Sgl Trip Rail Adult,2030,11626,13838,13312,13823,16206,14376,11801,12908,13522,12285,11513,14556,12860,14058,14462,16789,16861,12727,14580,15970,15577,14510,12471,12819,12815,12935,12353,14657,14593,11857,10608,11675,12187
Central Coast Newcastle Line,Sgl Trip Rail Child/Youth,659,2343,3664,3304,2861,4665,5494,2265,2631,4394,2503,2662,5349,2904,4064,3887,3468,5282,5499,3264,3704,5406,3385,3055,4925,2830,3193,3608,3103,4543,5285,2597,2757,4372
Hunter Line,Adult,35095,29693,36901,35439,39132,33766,34491,37943,45980,41255,45818,37998,35351,37126,35067,34226,40588,44781,31743,38622,44885,40903,45719,36021,41430,43995,40674,40193,45221,35664,35375,44055,50684,46177
Hunter Line,Child/Youth,3417,2749,4407,4616,4032,5265,6897,4346,4629,6186,4105,4000,5300,3913,5628,4909,4574,7311,6904,5207,4874,6539,5122,3506,5443,4049,4910,5416,4760,5346,6713,5321,5165,6968
