,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19
Sydney Metro Contract 4,Free Travel,"1,436","1,950","1,867","2,066","2,366","2,098","1,872","2,039","2,430","1,969","2,417","2,323","2,191","2,515","2,445","2,523","2,650","2,060","1,945","2,244","2,551","2,227","2,446","2,152","2,065","2,226","2,043","2,224","2,325","1,974","1,921","2,189","2,435","2,235"
Sydney Metro Contract 4,School Student,"106,945","246,098","175,165","157,520","210,231","81,406","14,831","214,840","254,953","85,458","249,028","202,738","108,319","237,670","161,332","164,730","207,980","76,916","17,132","223,734","238,679","100,556","260,209","218,505","111,957","248,256","211,870","135,612","223,935","104,734","18,041","237,132","302,889","164,243"
Sydney Metro Contract 4,Senior/Pensioner,"184,319","202,488","200,000","198,730","213,493","188,149","173,617","190,188","218,584","184,555","221,985","203,205","206,783","219,424","207,009","210,048","221,703","195,677","192,083","204,560","225,990","208,536","235,893","211,798","225,020","234,915","216,429","227,572","233,973","210,491","200,739","220,375","232,198","215,118"
Sydney Metro Contract 4,Day Pass Child/Youth w/o SAF,,,,,,,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,3,1
Sydney Metro Contract 4,Day Pass without SAF,,,,,,,,,,,,,,2,3,1,,,,,,1,10,8,8,10,7,8,11,6,25,59,35,36
Sydney Metro Contract 5,Adult,"101,718","105,057","102,149","102,105","112,873","99,340","96,356","104,952","124,545","98,009","126,915","114,682","113,618","124,499","119,905","125,506","131,714","112,923","114,284","124,772","140,837","129,063","150,422","134,100","146,681","154,578","141,666","151,740","154,904","134,545","140,495","145,740","158,745","141,899"
Sydney Metro Contract 5,Adult Single Bus Trip 1,,"6,316","5,464","5,107","5,584","4,908","4,560","4,565","5,060","4,277","4,929","4,430","4,619","4,502","4,479","4,389","4,316","4,252","4,206","4,058","4,454","4,309","4,334","3,867","4,228","4,111","3,917","3,977","4,122","3,930","4,102","3,829","4,112","3,781"
Sydney Metro Contract 5,Adult Single Bus Trip 2,,"1,994","1,644","1,568","1,522","1,453","1,468","1,397","1,442","1,259","1,391","1,226","1,203","1,123","1,076","1,050","1,087","1,046","1,035",974,"1,117","1,038",952,895,"1,040",951,945,"1,015","1,031","1,023","1,085",936,"1,030",909
Sydney Metro Contract 5,Adult Single Bus Trip 3,,76,51,47,29,42,47,27,31,19,28,32,32,27,33,34,40,21,23,24,28,48,41,51,33,39,41,37,35,37,31,26,26,25
Sydney Metro Contract 5,Child/Youth,"16,248","15,396","18,546","18,193","20,525","20,684","20,662","18,605","18,931","19,238","17,913","16,016","20,904","16,457","19,446","18,983","17,835","19,876","21,925","17,934","18,257","20,986","15,875","15,009","22,973","16,727","16,706","21,663","18,710","20,269","24,669","18,725","18,692","20,555"
